"filename", "language", "Objective-C", "JavaScript", "Swift", "JavaScript JSX", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\rache\catbook\MedicalManagementApp\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 36, 159
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\MedicalTableView.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\MedicalTableView.swift", "Swift", 0, 0, 191, 0, 0, 0, 0, 0, 0, 21, 41, 253
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\PHIProtection.m", "Objective-C", 86, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 104
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\PaperPrescriptionModule.swift", "Swift", 0, 0, 101, 0, 0, 0, 0, 0, 0, 4, 20, 125
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\SecurityEnhancements.swift", "Swift", 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 6, 41
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\SecurityModule.swift", "Swift", 0, 0, 290, 0, 0, 0, 0, 0, 0, 38, 50, 378
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\WebViewBridge.m", "Objective-C", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 27
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\WebViewBridge.swift", "Swift", 0, 0, 107, 0, 0, 0, 0, 0, 0, 6, 18, 131
"c:\Users\rache\catbook\MedicalManagementApp\api\ApiClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 213, 0, 0, 23, 40, 276
"c:\Users\rache\catbook\MedicalManagementApp\app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 59
"c:\Users\rache\catbook\MedicalManagementApp\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 14, 20, 133
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 4, 46
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 4, 111
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 4, 76
"c:\Users\rache\catbook\MedicalManagementApp\app\+not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\rache\catbook\MedicalManagementApp\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 5, 30
"c:\Users\rache\catbook\MedicalManagementApp\app\screens\OAuthLoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 287, 0, 0, 14, 15, 316
"c:\Users\rache\catbook\MedicalManagementApp\assets\test\AutomationFramework.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rache\catbook\MedicalManagementApp\babel.config.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\rache\catbook\MedicalManagementApp\constants\Colors.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 3, 27
"c:\Users\rache\catbook\MedicalManagementApp\domains\clinical\medications\DrugInteractionChecker.ts", "TypeScript", 0, 0, 0, 0, 0, 252, 0, 0, 0, 44, 40, 336
"c:\Users\rache\catbook\MedicalManagementApp\eslint.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\rache\catbook\MedicalManagementApp\mobile\LocalAuditService.ts", "TypeScript", 0, 0, 0, 0, 0, 113, 0, 0, 0, 27, 21, 161
"c:\Users\rache\catbook\MedicalManagementApp\mobile\useAudit.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 9, 40
"c:\Users\rache\catbook\MedicalManagementApp\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20487, 0, 0, 1, 20488
"c:\Users\rache\catbook\MedicalManagementApp\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 1, 73
"c:\Users\rache\catbook\MedicalManagementApp\readMe.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 21, 52
