"filename", "language", "Markdown", "HTML", "Docker", "JSON", "JavaScript", "PostCSS", "XML", "Objective-C", "Swift", "JavaScript JSX", "JSON with Comments", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rache\catbook\MedicalManagementApp\CLAUDE.md", "Markdown", -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -159
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\MedicalTableView.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\MedicalTableView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -191, 0, 0, 0, 0, -21, -41, -253
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\PHIProtection.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, -3, -15, -104
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\PaperPrescriptionModule.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -101, 0, 0, 0, 0, -4, -20, -125
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\SecurityEnhancements.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -2, -6, -41
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\SecurityModule.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -290, 0, 0, 0, 0, -38, -50, -378
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\WebViewBridge.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, -4, -6, -27
"c:\Users\rache\catbook\MedicalManagementApp\HealthBridge\WebViewBridge.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, -107, 0, 0, 0, 0, -6, -18, -131
"c:\Users\rache\catbook\MedicalManagementApp\api\ApiClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -213, -23, -40, -276
"c:\Users\rache\catbook\MedicalManagementApp\app.json", "JSON", 0, 0, 0, -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59
"c:\Users\rache\catbook\MedicalManagementApp\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, -14, -20, -133
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -1, -4, -46
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\explore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107, 0, -4, -111
"c:\Users\rache\catbook\MedicalManagementApp\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72, 0, -4, -76
"c:\Users\rache\catbook\MedicalManagementApp\app\+not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, -4, -33
"c:\Users\rache\catbook\MedicalManagementApp\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -1, -5, -30
"c:\Users\rache\catbook\MedicalManagementApp\app\screens\OAuthLoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -287, -14, -15, -316
"c:\Users\rache\catbook\MedicalManagementApp\assets\test\AutomationFramework.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rache\catbook\MedicalManagementApp\babel.config.js", "JavaScript", 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27
"c:\Users\rache\catbook\MedicalManagementApp\constants\Colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, -4, -3, -27
"c:\Users\rache\catbook\MedicalManagementApp\domains\clinical\medications\DrugInteractionChecker.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -252, 0, -44, -40, -336
"c:\Users\rache\catbook\MedicalManagementApp\eslint.config.js", "JavaScript", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -11
"c:\Users\rache\catbook\MedicalManagementApp\mobile\LocalAuditService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, -27, -21, -161
"c:\Users\rache\catbook\MedicalManagementApp\mobile\useAudit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, -4, -9, -40
"c:\Users\rache\catbook\MedicalManagementApp\package-lock.json", "JSON", 0, 0, 0, -20487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20488
"c:\Users\rache\catbook\MedicalManagementApp\package.json", "JSON", 0, 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -73
"c:\Users\rache\catbook\MedicalManagementApp\readMe.md", "Markdown", -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -52
"c:\Users\rache\catbook\MedicalManagementApp\scripts\reset-project.js", "JavaScript", 0, 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -10, -14, -113
"c:\Users\rache\catbook\MedicalManagementApp\server\AuditService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -183, 0, -34, -25, -242
"c:\Users\rache\catbook\MedicalManagementApp\server\EncryptedPrismaService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -153, 0, -45, -37, -235
"c:\Users\rache\catbook\MedicalManagementApp\server\audit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, 0, -6, -12, -63
"c:\Users\rache\catbook\MedicalManagementApp\server\auth.js", "JavaScript", 0, 0, 0, 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10, -65
"c:\Users\rache\catbook\MedicalManagementApp\server\useAuth.js", "JavaScript", 0, 0, 0, 0, -165, 0, 0, 0, 0, 0, 0, 0, 0, -5, -31, -201
"c:\Users\rache\catbook\MedicalManagementApp\src\api\ApiClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -213, -23, -40, -276
"c:\Users\rache\catbook\MedicalManagementApp\src\api\ApiOptimize.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -50, -12, -14, -76
"c:\Users\rache\catbook\MedicalManagementApp\src\api\AuthApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, -1, -9, -59
"c:\Users\rache\catbook\MedicalManagementApp\src\api\FaxApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -67, -1, -8, -76
"c:\Users\rache\catbook\MedicalManagementApp\src\api\InsuranceApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, 0, -9, -83
"c:\Users\rache\catbook\MedicalManagementApp\src\api\MessageApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -93, -1, -16, -110
"c:\Users\rache\catbook\MedicalManagementApp\src\api\PatientsApi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, -5, -13, -109
"c:\Users\rache\catbook\MedicalManagementApp\src\api\endpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, -8, -9, -57
"c:\Users\rache\catbook\MedicalManagementApp\src\background\BackgroundTaskManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -310, 0, -70, -65, -445
