"filename", "language", "Markdown", "HTML", "Docker", "JSON", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\rache\catbook\NodeCrypt\CLAUDE.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\rache\catbook\NodeCrypt\Dockerfile", "Docker", 0, 0, 67, 0, 0, 0, 0, 50, 22, 139
"c:\Users\rache\catbook\NodeCrypt\HIPAA-IMPLEMENTATION.md", "Markdown", 159, 0, 0, 0, 0, 0, 0, 0, 47, 206
"c:\Users\rache\catbook\NodeCrypt\LEGAL_IP_LOGGING.md", "Markdown", 444, 0, 0, 0, 0, 0, 0, 0, 97, 541
"c:\Users\rache\catbook\NodeCrypt\README.md", "Markdown", 126, 0, 0, 0, 0, 0, 0, 0, 54, 180
"c:\Users\rache\catbook\NodeCrypt\README_EN.md", "Markdown", 121, 0, 0, 0, 0, 0, 0, 0, 50, 171
"c:\Users\rache\catbook\NodeCrypt\SECURITY_RECOMMENDATIONS.md", "Markdown", 136, 0, 0, 0, 0, 0, 0, 0, 21, 157
"c:\Users\rache\catbook\NodeCrypt\STUN_TURN_SETUP.md", "Markdown", 311, 0, 0, 0, 0, 0, 0, 0, 67, 378
"c:\Users\rache\catbook\NodeCrypt\client\assets\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 4, 1, 11
"c:\Users\rache\catbook\NodeCrypt\client\css\body.css", "PostCSS", 0, 0, 0, 0, 0, 493, 0, 15, 66, 574
"c:\Users\rache\catbook\NodeCrypt\client\css\form-animation.css", "PostCSS", 0, 0, 0, 0, 0, 23, 0, 1, 4, 28
"c:\Users\rache\catbook\NodeCrypt\client\css\phone.css", "PostCSS", 0, 0, 0, 0, 0, 201, 0, 6, 30, 237
"c:\Users\rache\catbook\NodeCrypt\client\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 1590, 0, 30, 243, 1863
"c:\Users\rache\catbook\NodeCrypt\client\css\webrtc.css", "PostCSS", 0, 0, 0, 0, 0, 138, 0, 7, 23, 168
"c:\Users\rache\catbook\NodeCrypt\client\index.html", "HTML", 0, 207, 0, 0, 0, 0, 0, 6, 3, 216
"c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAIntegration.js", "JavaScript", 0, 0, 0, 0, 328, 0, 0, 47, 86, 461
"c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAMedicalChat.js", "JavaScript", 0, 0, 0, 0, 521, 0, 0, 91, 116, 728
"c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAMedicalChatWithQueue.js", "JavaScript", 0, 0, 0, 0, 548, 0, 0, 121, 143, 812
"c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAWebRTCApp.js", "JavaScript", 0, 0, 0, 0, 420, 0, 0, 57, 109, 586
"c:\Users\rache\catbook\NodeCrypt\client\js\NodeCrypt.js", "JavaScript", 0, 0, 0, 0, 538, 0, 0, 58, 29, 625
"c:\Users\rache\catbook\NodeCrypt\client\js\chat.js", "JavaScript", 0, 0, 0, 0, 404, 0, 0, 53, 22, 479
"c:\Users\rache\catbook\NodeCrypt\client\js\encryption\SignalProtocolManager.js", "JavaScript", 0, 0, 0, 0, 211, 0, 0, 24, 43, 278
