Date : 2025-08-22 16:58:15
Directory : c:\Users\rache\catbook\NodeCrypt
Total : 69 files,  26012 codes, 2782 comments, 4115 blanks, all 32909 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         47 |     15,284 |      2,642 |      3,097 |     21,023 |
| JSON       |          4 |      4,950 |          0 |          4 |      4,954 |
| PostCSS    |          5 |      2,445 |         59 |        366 |      2,870 |
| HTML       |          4 |      1,935 |         27 |        286 |      2,248 |
| Markdown   |          7 |      1,325 |          0 |        339 |      1,664 |
| Docker     |          1 |         67 |         50 |         22 |        139 |
| XML        |          1 |          6 |          4 |          1 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         69 |     26,012 |      2,782 |      4,115 |     32,909 |
| . (Files)                                                                      |         17 |      9,118 |        247 |        879 |     10,244 |
| client                                                                         |         40 |     13,709 |      1,975 |      2,355 |     18,039 |
| client (Files)                                                                 |          1 |        207 |          6 |          3 |        216 |
| client\assets                                                                  |          1 |          6 |          4 |          1 |         11 |
| client\css                                                                     |          5 |      2,445 |         59 |        366 |      2,870 |
| client\js                                                                      |         33 |     11,051 |      1,906 |      1,985 |     14,942 |
| client\js (Files)                                                              |         21 |      6,280 |      1,221 |      1,024 |      8,525 |
| client\js\encryption                                                           |          2 |        348 |         32 |         79 |        459 |
| client\js\hipaa                                                                |          2 |        807 |        175 |        160 |      1,142 |
| client\js\keymanagement                                                        |          1 |        292 |         42 |         64 |        398 |
| client\js\messaging                                                            |          1 |        449 |         90 |        127 |        666 |
| client\js\queue                                                                |          3 |      2,075 |        184 |        332 |      2,591 |
| client\js\security                                                             |          1 |        451 |         68 |        115 |        634 |
| client\js\utils                                                                |          1 |         58 |         47 |         11 |        116 |
| client\js\webrtc                                                               |          1 |        291 |         47 |         73 |        411 |
| server                                                                         |          4 |      1,179 |        101 |        319 |      1,599 |
| tests                                                                          |          6 |      1,517 |        415 |        455 |      2,387 |
| worker                                                                         |          2 |        489 |         44 |        107 |        640 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\rache\catbook\NodeCrypt\CLAUDE.md                                     | Markdown   |         28 |          0 |          3 |         31 |
| c:\Users\rache\catbook\NodeCrypt\Dockerfile                                    | Docker     |         67 |         50 |         22 |        139 |
| c:\Users\rache\catbook\NodeCrypt\HIPAA-IMPLEMENTATION.md                       | Markdown   |        159 |          0 |         47 |        206 |
| c:\Users\rache\catbook\NodeCrypt\LEGAL_IP_LOGGING.md                           | Markdown   |        444 |          0 |         97 |        541 |
| c:\Users\rache\catbook\NodeCrypt\README.md                                     | Markdown   |        126 |          0 |         54 |        180 |
| c:\Users\rache\catbook\NodeCrypt\README_EN.md                                  | Markdown   |        121 |          0 |         50 |        171 |
| c:\Users\rache\catbook\NodeCrypt\SECURITY_RECOMMENDATIONS.md                   | Markdown   |        136 |          0 |         21 |        157 |
| c:\Users\rache\catbook\NodeCrypt\STUN_TURN_SETUP.md                            | Markdown   |        311 |          0 |         67 |        378 |
| c:\Users\rache\catbook\NodeCrypt\client\assets\favicon.svg                     | XML        |          6 |          4 |          1 |         11 |
| c:\Users\rache\catbook\NodeCrypt\client\css\body.css                           | PostCSS    |        493 |         15 |         66 |        574 |
| c:\Users\rache\catbook\NodeCrypt\client\css\form-animation.css                 | PostCSS    |         23 |          1 |          4 |         28 |
| c:\Users\rache\catbook\NodeCrypt\client\css\phone.css                          | PostCSS    |        201 |          6 |         30 |        237 |
| c:\Users\rache\catbook\NodeCrypt\client\css\style.css                          | PostCSS    |      1,590 |         30 |        243 |      1,863 |
| c:\Users\rache\catbook\NodeCrypt\client\css\webrtc.css                         | PostCSS    |        138 |          7 |         23 |        168 |
| c:\Users\rache\catbook\NodeCrypt\client\index.html                             | HTML       |        207 |          6 |          3 |        216 |
| c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAIntegration.js                 | JavaScript |        328 |         47 |         86 |        461 |
| c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAMedicalChat.js                 | JavaScript |        521 |         91 |        116 |        728 |
| c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAMedicalChatWithQueue.js        | JavaScript |        548 |        121 |        143 |        812 |
| c:\Users\rache\catbook\NodeCrypt\client\js\HIPAAWebRTCApp.js                   | JavaScript |        420 |         57 |        109 |        586 |
| c:\Users\rache\catbook\NodeCrypt\client\js\NodeCrypt.js                        | JavaScript |        538 |         58 |         29 |        625 |
| c:\Users\rache\catbook\NodeCrypt\client\js\chat.js                             | JavaScript |        404 |         53 |         22 |        479 |
| c:\Users\rache\catbook\NodeCrypt\client\js\encryption\SignalProtocolManager.js | JavaScript |        211 |         24 |         43 |        278 |
| c:\Users\rache\catbook\NodeCrypt\client\js\encryption\SignalProtocolStore.js   | JavaScript |        137 |          8 |         36 |        181 |
| c:\Users\rache\catbook\NodeCrypt\client\js\hipaa\HIPAAMiddleware.js            | JavaScript |        356 |         58 |         85 |        499 |
| c:\Users\rache\catbook\NodeCrypt\client\js\hipaa\WebRTCAuditLogger.js          | JavaScript |        451 |        117 |         75 |        643 |
| c:\Users\rache\catbook\NodeCrypt\client\js\keymanagement\KeyRotationManager.js | JavaScript |        292 |         42 |         64 |        398 |
| c:\Users\rache\catbook\NodeCrypt\client\js\main.js                             | JavaScript |        292 |         93 |         50 |        435 |
